ProductURL	ImageURL_1	ImageURL_2	ImageURL_3	ImageURL_4	ImageURL_5	Nome	Preço	Categoria
https://www.kabum.com.br/produto/180914/switch-tp-link-5-portas-ls105g	https://images.kabum.com.br/produtos/fotos/sync_mirakl/180914/xlarge/Switch-TP-Link-5-portas-LS105G_1785309519.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/180914/xlarge/Switch-TP-Link-5-portas-LS105G_1785309521.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/180914/xlarge/Switch-TP-Link-5-portas-LS105G_1785309522.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/180914/xlarge/Switch-TP-Link-5-portas-LS105G_1785309523.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/180914/xlarge/Switch-TP-Link-5-portas-LS105G_1785309524.jpg	Switch TP-Link, 5 portas – LS105G	R$ 25,66	Hardware > Redes e Roteadores > Switches
https://www.kabum.com.br/produto/291268/switch-tp-link-10-100mbps-fast-ethernet-5-portas-tpn0249	https://images.kabum.com.br/produtos/fotos/sync_mirakl/291268/xlarge/Switch-Tp-link-10-100Mbps-Fast-Ethernet-5-Portas-TPN0249_1781271520.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/291268/xlarge/Switch-Tp-link-10-100Mbps-Fast-Ethernet-5-Portas-TPN0249_1781271521.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/291268/xlarge/Switch-Tp-link-10-100Mbps-Fast-Ethernet-5-Portas-TPN0249_1781271522.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/291268/xlarge/Switch-Tp-link-10-100Mbps-Fast-Ethernet-5-Portas-TPN0249_1781271523.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/291268/xlarge/Switch-Tp-link-10-100Mbps-Fast-Ethernet-5-Portas-TPN0249_1781271524.jpg	Switch Tp-link 10/100Mbps, Fast Ethernet, 5 Portas - TPN0249	R$ 30,00	Hardware > Redes e Roteadores > Switches
https://www.kabum.com.br/produto/933045/switch-cudy-de-mesa-5-portas-10-100mbps-branco-fs105d-v3-0	https://images.kabum.com.br/produtos/fotos/sync_mirakl/933045/xlarge/Switch-Cudy-De-Mesa-5-Portas-10-100mbps-Branco-Fs105d-V3-0_1774610320.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/933045/xlarge/Switch-Cudy-De-Mesa-5-Portas-10-100mbps-Branco-Fs105d-V3-0_1774610321.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/933045/xlarge/Switch-Cudy-De-Mesa-5-Portas-10-100mbps-Branco-Fs105d-V3-0_1774610322.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/933045/xlarge/Switch-Cudy-De-Mesa-5-Portas-10-100mbps-Branco-Fs105d-V3-0_1774610324.jpg		Switch Cudy De Mesa 5 Portas 10/100mbps Branco Fs105d V3.0	R$ 40,59	Hardware > Redes e Roteadores > Switches
https://www.kabum.com.br/produto/169239/switch-tp-link-5-portas-easy-smart-gigabit-tl-sg105e	https://images.kabum.com.br/produtos/fotos/sync_mirakl/169239/xlarge/Switch-TP-Link-5-Portas-Easy-Smart-Gigabit-TL-SG105E_1781271520.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/169239/xlarge/Switch-TP-Link-5-Portas-Easy-Smart-Gigabit-TL-SG105E_1781271521.jpg	https://images.kabum.com.br/produtos/fotos/sync_mirakl/169239/xlarge/Switch-TP-Link-5-Portas-Easy-Smart-Gigabit-TL-SG105E_1781271522.jpg			Switch TP-Link 5 Portas, Easy Smart Gigabit - TL-SG105E	R$ 25,12	Hardware > Redes e Roteadores > Switches
https://www.kabum.com.br/produto/320797/processador-amd-ryzen-7-5700x-cache-36mb-3-8ghz-4-6ghz-max-turbo-am4-100-100000926wof	https://images.kabum.com.br/produtos/fotos/320797/processador-amd-ryzen-7-5700x-cache-36mb-3-8ghz-4-6ghz-max-turbo-am4-100-100000926wof_1647636511.jpg	https://images.kabum.com.br/produtos/fotos/320797/processador-amd-ryzen-7-5700x-cache-36mb-3-8ghz-4-6ghz-max-turbo-am4-100-100000926wof_1647636512.jpg	https://images.kabum.com.br/produtos/fotos/320797/processador-amd-ryzen-7-5700x-cache-36mb-3-8ghz-4-6ghz-max-turbo-am4-100-100000926wof_1647636513.jpg	https://images.kabum.com.br/produtos/fotos/320797/processador-amd-ryzen-7-5700x-cache-36mb-3-8ghz-4-6ghz-max-turbo-am4-100-100000926wof_1647636514.jpg		Processador AMD Ryzen 7 5700X, Cache 36MB, 3.8GHz (4.6GHz Max Turbo), AM4 - 100-100000926WOF	R$ 2.163,95	Hardware > Processadores
https://www.kabum.com.br/produto/621162/ssd-pcie-kingston-nv3-1-tb-m-2-2280-nvme-leitura-6000-mb-s-e-gravacao-4000-mb-s-snv3s-1000g	https://images.kabum.com.br/produtos/fotos/621162/ssd-pcie-kingston-nv3-1-tb-m-2-2280-nvme-leitura-6000-mb-s-e-gravacao-4000-mb-s-snv3s-1000g_1726082185.jpg	https://images.kabum.com.br/produtos/fotos/621162/ssd-pcie-kingston-nv3-1-tb-m-2-2280-nvme-leitura-6000-mb-s-e-gravacao-4000-mb-s-snv3s-1000g_1726082186.jpg	https://images.kabum.com.br/produtos/fotos/621162/ssd-pcie-kingston-nv3-1-tb-m-2-2280-nvme-leitura-6000-mb-s-e-gravacao-4000-mb-s-snv3s-1000g_1726082187.jpg			SSD Kingston NV3, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 6000 MB/s, Gravação: 4000 MB/s - SNV3S/1000G	R$ 1.199,99	Hardware > SSD e HD > SSD
https://www.kabum.com.br/produto/369658/fonte-msi-mag-a650bn-atx-650w-80-plus-bronze-pfc-ativo-entrada-bivolt-preto-306-7zp2b22-ce0	https://images.kabum.com.br/produtos/fotos/369658/fonte-msi-mag-a650bn-atx-650w-80-plus-bronze-pfc-ativo-entrada-bivolt-preto-306-7zp2b22-ce0_1665770996.jpg	https://images.kabum.com.br/produtos/fotos/369658/fonte-msi-mag-a650bn-atx-650w-80-plus-bronze-pfc-ativo-entrada-bivolt-preto-306-7zp2b22-ce0_1665770997.jpg	https://images.kabum.com.br/produtos/fotos/369658/fonte-msi-mag-a650bn-atx-650w-80-plus-bronze-pfc-ativo-entrada-bivolt-preto-306-7zp2b22-ce0_1665770998.jpg	https://images.kabum.com.br/produtos/fotos/369658/fonte-msi-mag-a650bn-atx-650w-80-plus-bronze-pfc-ativo-entrada-bivolt-preto-306-7zp2b22-ce0_1665770999.jpg		Fonte MSI MAG A650BN, 650W, 80 Plus Bronze, PFC Ativo, Preto - 306-7ZP2B22-CE0	R$ 289,99	Hardware > Fontes
https://www.kabum.com.br/produto/1037468/notebook-lenovo-ideapad-slim-3-amd-ryzen-5-7535hs-8gb-amd-radeon-graphics-ssd-512gb-15-3-wuxga-1920x1200-linux-83mms00300	https://images.kabum.com.br/produtos/fotos/1037468/notebook-lenovo-ideapad-slim-3-amd-ryzen-5-7535hs-8gb-amd-radeon-graphics-ssd-512gb-15-3-wuxga-1920x1200-linux-83mms00300_1780426518_m.jpg	https://images.kabum.com.br/produtos/fotos/1037468/notebook-lenovo-ideapad-slim-3-amd-ryzen-5-7535hs-8gb-amd-radeon-graphics-ssd-512gb-15-3-wuxga-1920x1200-linux-83mms00300_1780426519.jpg	https://images.kabum.com.br/produtos/fotos/1037468/notebook-lenovo-ideapad-slim-3-amd-ryzen-5-7535hs-8gb-amd-radeon-graphics-ssd-512gb-15-3-wuxga-1920x1200-linux-83mms00300_1780426520.jpg	https://images.kabum.com.br/produtos/fotos/1037468/notebook-lenovo-ideapad-slim-3-amd-ryzen-5-7535hs-8gb-amd-radeon-graphics-ssd-512gb-15-3-wuxga-1920x1200-linux-83mms00300_1780426521.jpg		Notebook Lenovo IdeaPad Slim 3 AMD Ryzen 5 7535HS, 8GB, SSD 512GB, 15.3' WUXGA Linux - 83MMS00300	R$ 3.499,99	Notebooks
https://www.kabum.com.br/produto/907601/fonte-gigabyte-ud850gm-850w-80-plus-gold-modular-pfc-ativo-preto-28200-ud850g-1arr	https://images.kabum.com.br/produtos/fotos/907601/fonte-gigabyte-ud850gm-850w-80-plus-gold-modular-pfc-ativo-preto-28200-ud850g-1arr_1767350978.jpg	https://images.kabum.com.br/produtos/fotos/907601/fonte-gigabyte-ud850gm-850w-80-plus-gold-modular-pfc-ativo-preto-28200-ud850g-1arr_1767350979.jpg	https://images.kabum.com.br/produtos/fotos/907601/fonte-gigabyte-ud850gm-850w-80-plus-gold-modular-pfc-ativo-preto-28200-ud850g-1arr_1767350980.jpg			Fonte Gigabyte UD850GM, 850W, 80 Plus Gold, Modular, Preto - UD850G-1ARR	R$ 719,99	Hardware > Fontes
https://www.kabum.com.br/produto/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr	https://images.kabum.com.br/produtos/fotos/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr_1767367782_m.jpg	https://images.kabum.com.br/produtos/fotos/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr_1767367783.jpg	https://images.kabum.com.br/produtos/fotos/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr_1767367784.jpg	https://images.kabum.com.br/produtos/fotos/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr_1767367785.jpg	https://images.kabum.com.br/produtos/fotos/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr_1767367786.jpg	Fonte Gigabyte UD850GM PG5 V2, 850W, 80 Plus Gold, Modular, Preto - U85GB-1CBRR	R$ 819,99	Hardware > Fontes
